	Representative	Member	ClusterSize	PhageID	ProteinID	Status	Function
40	MZ501063.1_prot_QXV78350.1_221_unknown_Bm2200	MZ501063.1_prot_QXV78350.1_221_unknown_Bm2200	1	MZ501063.1	QXV78350.1221	unknown	Bm2200
45	MZ501063.1_prot_QXV78362.1_233_unknown_ABC_transporter-like_protein	MZ501063.1_prot_QXV78362.1_233_unknown_ABC_transporter-like_protein	1	MZ501063.1	QXV78362.1233	unknown	ABC_transporter-like_protein
48	MZ501063.1_prot_QXV78370.1_241_unknown_Outer_membrane_protein_HefD	MZ501063.1_prot_QXV78370.1_241_unknown_Outer_membrane_protein_HefD	1	MZ501063.1	QXV78370.1241	unknown	Outer_membrane_protein_HefD
50	MZ501064.1_prot_QXV78402.1_9_unknown_Fiber_protein_Fb34	MZ501064.1_prot_QXV78402.1_9_unknown_Fiber_protein_Fb34	1	MZ501064.1	QXV78402.19	unknown	Fiber_protein_Fb34
55	MZ501064.1_prot_QXV78423.1_30_unknown_DNA-3-methyladenine_glycosylase_II	MZ501064.1_prot_QXV78423.1_30_unknown_DNA-3-methyladenine_glycosylase_II	1	MZ501064.1	QXV78423.130	unknown	DNA-3-methyladenine_glycosylase_II
70	MZ501065.1_prot_QXV78620.1_179_unknown_PRELI-MSF1_domain-containing_protein	MZ501065.1_prot_QXV78620.1_179_unknown_PRELI-MSF1_domain-containing_protein	1	MZ501065.1	QXV78620.1179	unknown	PRELI-MSF1_domain-containing_protein
91	MZ501066.1_prot_QXV78910.1_202_unknown_Os05g0537200_protein	MZ501066.1_prot_QXV78910.1_202_unknown_Os05g0537200_protein	1	MZ501066.1	QXV78910.1202	unknown	Os05g0537200_protein
95	MZ501067.1_prot_QXV79022.1_33_unknown_Ly6-C_antigen	MZ501067.1_prot_QXV79022.1_33_unknown_Ly6-C_antigen	1	MZ501067.1	QXV79022.133	unknown	Ly6-C_antigen
97	MZ501067.1_prot_QXV79087.1_98_unknown_Vacuolar_protein-sorting-associated_protein_37_homolog_1	MZ501067.1_prot_QXV79087.1_98_unknown_Vacuolar_protein-sorting-associated_protein_37_homolog_1	1	MZ501067.1	QXV79087.198	unknown	Vacuolar_protein-sorting-associated_protein_37_homolog_1
110	MZ501067.1_prot_QXV79201.1_212_unknown_Nucleotidyltransferase	MZ501067.1_prot_QXV79201.1_212_unknown_Nucleotidyltransferase	1	MZ501067.1	QXV79201.1212	unknown	Nucleotidyltransferase
111	MZ501067.1_prot_QXV79206.1_217_unknown_Cyclic_nucleotide-gated_ion_channel_1	MZ501067.1_prot_QXV79206.1_217_unknown_Cyclic_nucleotide-gated_ion_channel_1	1	MZ501067.1	QXV79206.1217	unknown	Cyclic_nucleotide-gated_ion_channel_1
114	MZ501068.1_prot_QXV79272.1_7_unknown_Outer_membrane_usher_protein_LpfC	MZ501068.1_prot_QXV79272.1_7_unknown_Outer_membrane_usher_protein_LpfC	1	MZ501068.1	QXV79272.17	unknown	Outer_membrane_usher_protein_LpfC
118	MZ501068.1_prot_QXV79295.1_30_unknown_Uncharacterized_protein	MZ501068.1_prot_QXV79295.1_30_unknown_Uncharacterized_protein	1	MZ501068.1	QXV79295.130	unknown	Uncharacterized_protein
120	MZ501068.1_prot_QXV79304.1_39_unknown_DNA_repair_protein_RAD4	MZ501068.1_prot_QXV79304.1_39_unknown_DNA_repair_protein_RAD4	1	MZ501068.1	QXV79304.139	unknown	DNA_repair_protein_RAD4
132	MZ501068.1_prot_QXV79319.1_54_unknown_No_apical_meristem-associated_C-terminal_domain-containing_protein	MZ501068.1_prot_QXV79319.1_54_unknown_No_apical_meristem-associated_C-terminal_domain-containing_protein	1	MZ501068.1	QXV79319.154	unknown	No_apical_meristem-associated_C-terminal_domain-containing_protein
133	MZ501068.1_prot_QXV79324.1_59_unknown_V-type_proton_ATPase_subunit_e_2	MZ501068.1_prot_QXV79324.1_59_unknown_V-type_proton_ATPase_subunit_e_2	1	MZ501068.1	QXV79324.159	unknown	V-type_proton_ATPase_subunit_e_2
134	MZ501068.1_prot_QXV79325.1_60_unknown_CBS_domain-containing_protein	MZ501068.1_prot_QXV79325.1_60_unknown_CBS_domain-containing_protein	1	MZ501068.1	QXV79325.160	unknown	CBS_domain-containing_protein
135	MZ501068.1_prot_QXV79330.1_65_unknown_Putative_rac_guanyl-nucleotide_exchange_factor	MZ501068.1_prot_QXV79330.1_65_unknown_Putative_rac_guanyl-nucleotide_exchange_factor	1	MZ501068.1	QXV79330.165	unknown	Putative_rac_guanyl-nucleotide_exchange_factor
136	MZ501068.1_prot_QXV79333.1_68_unknown_FlxA-like_family_protein	MZ501068.1_prot_QXV79333.1_68_unknown_FlxA-like_family_protein	1	MZ501068.1	QXV79333.168	unknown	FlxA-like_family_protein
141	MZ501068.1_prot_QXV79342.1_77_unknown_Vesicle_transport_v-SNARE_11	MZ501068.1_prot_QXV79342.1_77_unknown_Vesicle_transport_v-SNARE_11	1	MZ501068.1	QXV79342.177	unknown	Vesicle_transport_v-SNARE_11
142	MZ501068.1_prot_QXV79343.1_78_unknown_Thioesterase_domain-containing_protein	MZ501068.1_prot_QXV79343.1_78_unknown_Thioesterase_domain-containing_protein	1	MZ501068.1	QXV79343.178	unknown	Thioesterase_domain-containing_protein
143	MZ501068.1_prot_QXV79349.1_84_unknown_DNA-directed_primase-polymerase_protein	MZ501068.1_prot_QXV79349.1_84_unknown_DNA-directed_primase-polymerase_protein	1	MZ501068.1	QXV79349.184	unknown	DNA-directed_primase-polymerase_protein
146	MZ501068.1_prot_QXV79352.1_87_unknown_LYR_motif-containing_protein_2	MZ501068.1_prot_QXV79352.1_87_unknown_LYR_motif-containing_protein_2	1	MZ501068.1	QXV79352.187	unknown	LYR_motif-containing_protein_2
150	MZ501069.1_prot_QXV79415.1_58_unknown_ABC_transporter_transmembrane_region	MZ501069.1_prot_QXV79415.1_58_unknown_ABC_transporter_transmembrane_region	1	MZ501069.1	QXV79415.158	unknown	ABC_transporter_transmembrane_region
151	MZ501069.1_prot_QXV79417.1_60_unknown_MARVEL_domain-containing_protein	MZ501069.1_prot_QXV79417.1_60_unknown_MARVEL_domain-containing_protein	1	MZ501069.1	QXV79417.160	unknown	MARVEL_domain-containing_protein
156	MZ501069.1_prot_QXV79439.1_82_unknown_Uncharacterized_protein_MJ1223	MZ501069.1_prot_QXV79439.1_82_unknown_Uncharacterized_protein_MJ1223	1	MZ501069.1	QXV79439.182	unknown	Uncharacterized_protein_MJ1223
162	MZ501071.1_prot_QXV79543.1_31_unknown_ESX-5_secretion_system_protein_EccD5	MZ501071.1_prot_QXV79543.1_31_unknown_ESX-5_secretion_system_protein_EccD5	1	MZ501071.1	QXV79543.131	unknown	ESX-5_secretion_system_protein_EccD5
169	MZ501048.1_prot_QXV75707.1_156_unknown_Protein_PHYLLO,_chloroplastic	MZ501048.1_prot_QXV75707.1_156_unknown_Protein_PHYLLO,_chloroplastic	1	MZ501048.1	QXV75707.1156	unknown	Protein_PHYLLO,_chloroplastic
172	MZ501049.1_prot_QXV75778.1_6_unknown_Beta-amylase	MZ501049.1_prot_QXV75778.1_6_unknown_Beta-amylase	1	MZ501049.1	QXV75778.16	unknown	Beta-amylase
176	MZ501049.1_prot_QXV75796.1_24_unknown_protein-serine-threonine_phosphatase	MZ501049.1_prot_QXV75796.1_24_unknown_protein-serine-threonine_phosphatase	1	MZ501049.1	QXV75796.124	unknown	protein-serine-threonine_phosphatase
183	MZ501049.1_prot_QXV75821.1_49_unknown_Competence_protein_ComK	MZ501049.1_prot_QXV75821.1_49_unknown_Competence_protein_ComK	1	MZ501049.1	QXV75821.149	unknown	Competence_protein_ComK
184	MZ501049.1_prot_QXV75824.1_52_unknown_valine--tRNA_ligase	MZ501049.1_prot_QXV75824.1_52_unknown_valine--tRNA_ligase	1	MZ501049.1	QXV75824.152	unknown	valine--tRNA_ligase
185	MZ501049.1_prot_QXV75826.1_54_unknown_E3_SUMO-protein_ligase_NSE2	MZ501049.1_prot_QXV75826.1_54_unknown_E3_SUMO-protein_ligase_NSE2	1	MZ501049.1	QXV75826.154	unknown	E3_SUMO-protein_ligase_NSE2
186	MZ501049.1_prot_QXV75828.1_56_unknown_F-box_domain-containing_protein	MZ501049.1_prot_QXV75828.1_56_unknown_F-box_domain-containing_protein	1	MZ501049.1	QXV75828.156	unknown	F-box_domain-containing_protein
190	MZ501049.1_prot_QXV75845.1_73_unknown_Actin-related_protein_2-3_complex_subunit_2	MZ501049.1_prot_QXV75845.1_73_unknown_Actin-related_protein_2-3_complex_subunit_2	1	MZ501049.1	QXV75845.173	unknown	Actin-related_protein_2-3_complex_subunit_2
191	MZ501049.1_prot_QXV75849.1_77_unknown_Large_ribosomal_subunit_protein_uL4	MZ501049.1_prot_QXV75849.1_77_unknown_Large_ribosomal_subunit_protein_uL4	1	MZ501049.1	QXV75849.177	unknown	Large_ribosomal_subunit_protein_uL4
192	MZ501049.1_prot_QXV75853.1_81_unknown_DUF1995_domain-containing_protein	MZ501049.1_prot_QXV75853.1_81_unknown_DUF1995_domain-containing_protein	1	MZ501049.1	QXV75853.181	unknown	DUF1995_domain-containing_protein
197	MZ501050.1_prot_QXV75924.1_70_unknown_Uncharacterized_protein_MJECL27	MZ501050.1_prot_QXV75924.1_70_unknown_Uncharacterized_protein_MJECL27	1	MZ501050.1	QXV75924.170	unknown	Uncharacterized_protein_MJECL27
201	MZ501050.1_prot_QXV76049.1_195_unknown_AT14535p	MZ501050.1_prot_QXV76049.1_195_unknown_AT14535p	1	MZ501050.1	QXV76049.1195	unknown	AT14535p
202	MZ501050.1_prot_QXV76074.1_220_unknown_Cytoplasmic_protein	MZ501050.1_prot_QXV76074.1_220_unknown_Cytoplasmic_protein	1	MZ501050.1	QXV76074.1220	unknown	Cytoplasmic_protein
203	MZ501051.1_prot_QXV76140.1_9_unknown_Carbohydrate_esterase_2_N-terminal_domain-containing_protein	MZ501051.1_prot_QXV76140.1_9_unknown_Carbohydrate_esterase_2_N-terminal_domain-containing_protein	1	MZ501051.1	QXV76140.19	unknown	Carbohydrate_esterase_2_N-terminal_domain-containing_protein
214	MZ501051.1_prot_QXV76162.1_31_unknown_AP2-ERF_domain-containing_protein	MZ501051.1_prot_QXV76162.1_31_unknown_AP2-ERF_domain-containing_protein	1	MZ501051.1	QXV76162.131	unknown	AP2-ERF_domain-containing_protein
215	MZ501051.1_prot_QXV76163.1_32_unknown_GH07914p	MZ501051.1_prot_QXV76163.1_32_unknown_GH07914p	1	MZ501051.1	QXV76163.132	unknown	GH07914p
224	MZ501051.1_prot_QXV76180.1_49_unknown_Cro-Cl_family_transcriptional_regulator	MZ501051.1_prot_QXV76180.1_49_unknown_Cro-Cl_family_transcriptional_regulator	1	MZ501051.1	QXV76180.149	unknown	Cro-Cl_family_transcriptional_regulator
226	MZ501051.1_prot_QXV76201.1_70_unknown_RBR-type_E3_ubiquitin_transferase	MZ501051.1_prot_QXV76201.1_70_unknown_RBR-type_E3_ubiquitin_transferase	1	MZ501051.1	QXV76201.170	unknown	RBR-type_E3_ubiquitin_transferase
227	MZ501051.1_prot_QXV76203.1_72_unknown_None	MZ501051.1_prot_QXV76203.1_72_unknown_None	1	MZ501051.1	QXV76203.172	unknown	None
228	MZ501051.1_prot_QXV76207.1_76_unknown_Elongation_factor_P	MZ501051.1_prot_QXV76207.1_76_unknown_Elongation_factor_P	1	MZ501051.1	QXV76207.176	unknown	Elongation_factor_P
231	MZ501052.1_prot_QXV76259.1_50_unknown_Sulfatase_domain-containing_protein	MZ501052.1_prot_QXV76259.1_50_unknown_Sulfatase_domain-containing_protein	1	MZ501052.1	QXV76259.150	unknown	Sulfatase_domain-containing_protein
232	MZ501052.1_prot_QXV76282.1_73_unknown_Transcription_factor_Pur-alpha_1	MZ501052.1_prot_QXV76282.1_73_unknown_Transcription_factor_Pur-alpha_1	1	MZ501052.1	QXV76282.173	unknown	Transcription_factor_Pur-alpha_1
241	MZ501052.1_prot_QXV76445.1_236_unknown_Helicase_ATP-binding_domain-containing_protein	MZ501052.1_prot_QXV76445.1_236_unknown_Helicase_ATP-binding_domain-containing_protein	1	MZ501052.1	QXV76445.1236	unknown	Helicase_ATP-binding_domain-containing_protein
250	MZ501053.1_prot_QXV76516.1_34_unknown_DNA_repair_protein_rhp26	MZ501053.1_prot_QXV76516.1_34_unknown_DNA_repair_protein_rhp26	1	MZ501053.1	QXV76516.134	unknown	DNA_repair_protein_rhp26
251	MZ501053.1_prot_QXV76519.1_37_unknown_vitamin-K-epoxide_reductase_(warfarin-sensitive)	MZ501053.1_prot_QXV76519.1_37_unknown_vitamin-K-epoxide_reductase_(warfarin-sensitive)	1	MZ501053.1	QXV76519.137	unknown	vitamin-K-epoxide_reductase_(warfarin-sensitive)
258	MZ501053.1_prot_QXV76536.1_54_unknown_phenylalanine--tRNA_ligase	MZ501053.1_prot_QXV76536.1_54_unknown_phenylalanine--tRNA_ligase	1	MZ501053.1	QXV76536.154	unknown	phenylalanine--tRNA_ligase
262	MZ501053.1_prot_QXV76540.1_58_unknown_Probable_galactinol--sucrose_galactosyltransferase_4	MZ501053.1_prot_QXV76540.1_58_unknown_Probable_galactinol--sucrose_galactosyltransferase_4	1	MZ501053.1	QXV76540.158	unknown	Probable_galactinol--sucrose_galactosyltransferase_4
263	MZ501053.1_prot_QXV76541.1_59_unknown_FLYWCH-type_domain-containing_protein	MZ501053.1_prot_QXV76541.1_59_unknown_FLYWCH-type_domain-containing_protein	1	MZ501053.1	QXV76541.159	unknown	FLYWCH-type_domain-containing_protein
264	MZ501053.1_prot_QXV76551.1_69_unknown_Gnk2-homologous_domain-containing_protein	MZ501053.1_prot_QXV76551.1_69_unknown_Gnk2-homologous_domain-containing_protein	1	MZ501053.1	QXV76551.169	unknown	Gnk2-homologous_domain-containing_protein
270	MZ501053.1_prot_QXV76558.1_76_unknown_Secreted_protein	MZ501053.1_prot_QXV76558.1_76_unknown_Secreted_protein	1	MZ501053.1	QXV76558.176	unknown	Secreted_protein
277	MZ501053.1_prot_QXV76564.1_82_unknown_Bm9928	MZ501053.1_prot_QXV76564.1_82_unknown_Bm9928	1	MZ501053.1	QXV76564.182	unknown	Bm9928
278	MZ501053.1_prot_QXV76566.1_84_unknown_Proton-coupled_zinc_antiporter_SLC30A1	MZ501053.1_prot_QXV76566.1_84_unknown_Proton-coupled_zinc_antiporter_SLC30A1	1	MZ501053.1	QXV76566.184	unknown	Proton-coupled_zinc_antiporter_SLC30A1
282	MZ501054.1_prot_QXV76582.1_16_unknown_Bacteriophage_protein	MZ501054.1_prot_QXV76582.1_16_unknown_Bacteriophage_protein	1	MZ501054.1	QXV76582.116	unknown	Bacteriophage_protein
283	MZ501054.1_prot_QXV76611.1_45_unknown_Glycosomal_membrane_protein,_putative	MZ501054.1_prot_QXV76611.1_45_unknown_Glycosomal_membrane_protein,_putative	1	MZ501054.1	QXV76611.145	unknown	Glycosomal_membrane_protein,_putative
285	MZ501054.1_prot_QXV76694.1_128_unknown_Splicing_factor_spf30	MZ501054.1_prot_QXV76694.1_128_unknown_Splicing_factor_spf30	1	MZ501054.1	QXV76694.1128	unknown	Splicing_factor_spf30
287	MZ501054.1_prot_QXV76773.1_207_unknown_Cytosine-specific_methyltransferase	MZ501054.1_prot_QXV76773.1_207_unknown_Cytosine-specific_methyltransferase	1	MZ501054.1	QXV76773.1207	unknown	Cytosine-specific_methyltransferase
291	MZ501055.1_prot_QXV76805.1_10_unknown_Cytoplasmic_protein	MZ501055.1_prot_QXV76805.1_10_unknown_Cytoplasmic_protein	1	MZ501055.1	QXV76805.110	unknown	Cytoplasmic_protein
293	MZ501055.1_prot_QXV76809.1_14_unknown_Uncharacterized_protein	MZ501055.1_prot_QXV76809.1_14_unknown_Uncharacterized_protein	1	MZ501055.1	QXV76809.114	unknown	Uncharacterized_protein
294	MZ501055.1_prot_QXV76824.1_29_unknown_None	MZ501055.1_prot_QXV76824.1_29_unknown_None	1	MZ501055.1	QXV76824.129	unknown	None
298	MZ501055.1_prot_QXV76840.1_45_unknown_N-acetyltransferase_domain-containing_protein	MZ501055.1_prot_QXV76840.1_45_unknown_N-acetyltransferase_domain-containing_protein	1	MZ501055.1	QXV76840.145	unknown	N-acetyltransferase_domain-containing_protein
303	MZ501056.1_prot_QXV76855.1_11_unknown_Homeobox_domain-containing_protein	MZ501056.1_prot_QXV76855.1_11_unknown_Homeobox_domain-containing_protein	1	MZ501056.1	QXV76855.111	unknown	Homeobox_domain-containing_protein
309	MZ501056.1_prot_QXV76893.1_49_unknown_Secreted_protein	MZ501056.1_prot_QXV76893.1_49_unknown_Secreted_protein	1	MZ501056.1	QXV76893.149	unknown	Secreted_protein
310	MZ501056.1_prot_QXV76894.1_50_unknown_Os03g0604401_protein	MZ501056.1_prot_QXV76894.1_50_unknown_Os03g0604401_protein	1	MZ501056.1	QXV76894.150	unknown	Os03g0604401_protein
311	MZ501056.1_prot_QXV76896.1_52_unknown_Ankyrin_repeat_protein	MZ501056.1_prot_QXV76896.1_52_unknown_Ankyrin_repeat_protein	1	MZ501056.1	QXV76896.152	unknown	Ankyrin_repeat_protein
312	MZ501056.1_prot_QXV76899.1_55_unknown_RanBD1_domain-containing_protein	MZ501056.1_prot_QXV76899.1_55_unknown_RanBD1_domain-containing_protein	1	MZ501056.1	QXV76899.155	unknown	RanBD1_domain-containing_protein
313	MZ501056.1_prot_QXV76900.1_56_unknown_DUF4254_domain-containing_protein	MZ501056.1_prot_QXV76900.1_56_unknown_DUF4254_domain-containing_protein	1	MZ501056.1	QXV76900.156	unknown	DUF4254_domain-containing_protein
337	MZ501056.1_prot_QXV76946.1_102_unknown_Uncharacterized_protein_MJ0519	MZ501056.1_prot_QXV76946.1_102_unknown_Uncharacterized_protein_MJ0519	1	MZ501056.1	QXV76946.1102	unknown	Uncharacterized_protein_MJ0519
360	MZ501056.1_prot_QXV76987.1_143_unknown_Histone-lysine_N-methyltransferase	MZ501056.1_prot_QXV76987.1_143_unknown_Histone-lysine_N-methyltransferase	1	MZ501056.1	QXV76987.1143	unknown	Histone-lysine_N-methyltransferase
361	MZ501056.1_prot_QXV76988.1_144_unknown_Uncharacterized_protease_MJ1657	MZ501056.1_prot_QXV76988.1_144_unknown_Uncharacterized_protease_MJ1657	1	MZ501056.1	QXV76988.1144	unknown	Uncharacterized_protease_MJ1657
362	MZ501056.1_prot_QXV76992.1_148_unknown_SIS_domain-containing_protein	MZ501056.1_prot_QXV76992.1_148_unknown_SIS_domain-containing_protein	1	MZ501056.1	QXV76992.1148	unknown	SIS_domain-containing_protein
367	MZ501056.1_prot_QXV77009.1_165_unknown_WD_repeat-containing_protein_27	MZ501056.1_prot_QXV77009.1_165_unknown_WD_repeat-containing_protein_27	1	MZ501056.1	QXV77009.1165	unknown	WD_repeat-containing_protein_27
368	MZ501056.1_prot_QXV77012.1_168_unknown_None	MZ501056.1_prot_QXV77012.1_168_unknown_None	1	MZ501056.1	QXV77012.1168	unknown	None
371	MZ501056.1_prot_QXV77035.1_191_unknown_TMEM_(Human_TransMEMbrane_protein)_homolog	MZ501056.1_prot_QXV77035.1_191_unknown_TMEM_(Human_TransMEMbrane_protein)_homolog	1	MZ501056.1	QXV77035.1191	unknown	TMEM_(Human_TransMEMbrane_protein)_homolog
372	MZ501056.1_prot_QXV77039.1_195_unknown_Uncharacterized_protein_MJ0002	MZ501056.1_prot_QXV77039.1_195_unknown_Uncharacterized_protein_MJ0002	1	MZ501056.1	QXV77039.1195	unknown	Uncharacterized_protein_MJ0002
373	MZ501056.1_prot_QXV77040.1_196_unknown_Conjugal_transfer_protein_TrbF	MZ501056.1_prot_QXV77040.1_196_unknown_Conjugal_transfer_protein_TrbF	1	MZ501056.1	QXV77040.1196	unknown	Conjugal_transfer_protein_TrbF
374	MZ501056.1_prot_QXV77044.1_200_unknown_Purine-rich_element-binding_protein_gamma	MZ501056.1_prot_QXV77044.1_200_unknown_Purine-rich_element-binding_protein_gamma	1	MZ501056.1	QXV77044.1200	unknown	Purine-rich_element-binding_protein_gamma
382	MZ501056.1_prot_QXV77054.1_210_unknown_CTC-interacting_domain_7	MZ501056.1_prot_QXV77054.1_210_unknown_CTC-interacting_domain_7	1	MZ501056.1	QXV77054.1210	unknown	CTC-interacting_domain_7
384	MZ501056.1_prot_QXV77064.1_220_unknown_Paralemmin-1	MZ501056.1_prot_QXV77064.1_220_unknown_Paralemmin-1	1	MZ501056.1	QXV77064.1220	unknown	Paralemmin-1
385	MZ501056.1_prot_QXV77080.1_236_unknown_Impact_N-terminal_domain-containing_protein	MZ501056.1_prot_QXV77080.1_236_unknown_Impact_N-terminal_domain-containing_protein	1	MZ501056.1	QXV77080.1236	unknown	Impact_N-terminal_domain-containing_protein
386	MZ501056.1_prot_QXV77092.1_248_unknown_Unplaced_genomic_scaffold_supercont1.6,_whole_genome_shotgun_sequence	MZ501056.1_prot_QXV77092.1_248_unknown_Unplaced_genomic_scaffold_supercont1.6,_whole_genome_shotgun_sequence	1	MZ501056.1	QXV77092.1248	unknown	Unplaced_genomic_scaffold_supercont1.6,_whole_genome_shotgun_sequence
408	MZ501057.1_prot_QXV77142.1_29_unknown_Uncharacterized_protein	MZ501057.1_prot_QXV77142.1_29_unknown_Uncharacterized_protein	1	MZ501057.1	QXV77142.129	unknown	Uncharacterized_protein
411	MZ501057.1_prot_QXV77162.1_49_unknown_P-loop_nucleoside_triphosphate_hydrolase_superfamily_protein	MZ501057.1_prot_QXV77162.1_49_unknown_P-loop_nucleoside_triphosphate_hydrolase_superfamily_protein	1	MZ501057.1	QXV77162.149	unknown	P-loop_nucleoside_triphosphate_hydrolase_superfamily_protein
414	MZ501057.1_prot_QXV77164.1_51_unknown_Sugar-bind_and_HTH_24_domain_containing_protein	MZ501057.1_prot_QXV77164.1_51_unknown_Sugar-bind_and_HTH_24_domain_containing_protein	1	MZ501057.1	QXV77164.151	unknown	Sugar-bind_and_HTH_24_domain_containing_protein
415	MZ501057.1_prot_QXV77165.1_52_unknown_60S_ribosomal_protein_L18a	MZ501057.1_prot_QXV77165.1_52_unknown_60S_ribosomal_protein_L18a	1	MZ501057.1	QXV77165.152	unknown	60S_ribosomal_protein_L18a
416	MZ501057.1_prot_QXV77168.1_55_unknown_Uncharacterized_protein_YdaE	MZ501057.1_prot_QXV77168.1_55_unknown_Uncharacterized_protein_YdaE	1	MZ501057.1	QXV77168.155	unknown	Uncharacterized_protein_YdaE
